"","GSM2417003","GSM2417004","GSM2417005","GSM2417006","GSM2417007","GSM2417009","GSM2417011","GSM2417015","GSM2417016","ent_gene","symbol_limma"
"11733633_at",3.21374507396224,3.05542345888387,3.4065164779052,3.2076292112763,2.94202527562899,3.2872071246323,3.15644895929585,3.27312098858013,3.3358282201745,"50487","PLA2G3"
"11754074_s_at",4.39902523007543,4.4473593229679,4.35082350718115,4.28272956841659,4.18621026180291,4.19669528745071,4.25873224613157,4.4225522556614,4.17719002402367,"50486","G0S2"
"11756927_a_at",7.03855674366183,7.00730963816265,7.81980504264824,7.08407329043407,7.11733446822993,6.91868366772403,6.92944936610865,7.37826492016783,6.95921048383743,"50485","SMARCAL1"
"11753877_x_at",3.63518025510116,3.21912057369512,3.11462507384803,3.25845716556625,3.26663314745475,3.24498201363645,3.1077310943631,3.29003186402132,3.06321672968292,"50484","RRM2B"
"11755965_a_at",9.08245136966108,9.08522402854506,8.59230344954882,8.81038014865563,9.05660763135228,9.28198106355083,9.43909922664184,9.24385970654075,9.26638804669114,"5048","PAFAH1B1"
"11723385_s_at",4.77813893978293,7.73728941844131,9.23296085622133,6.93268226760769,7.64779703135976,6.70926370776686,6.73804863851393,9.60320497126409,3.93364988023072,"5046","PCSK6"
"11716282_s_at",5.21677262707272,6.21943586989436,6.12515071723742,6.11557951570439,5.58523755334477,5.80716602787136,5.78958046381441,5.60606917097643,6.09303804518521,"5045","FURIN"
"11759136_at",3.10988986053396,2.9578659465328,2.8509183286434,3.13817234678049,3.07729696187241,3.17924170101255,3.3915209024894,3.09923309368428,2.93751488139085,"5042","PABPC3"
"11720526_s_at",11.5906221644313,11.854655812124,11.2638761391288,12.164303930308,11.2334007982471,11.3046277180562,11.6647198576011,11.1759023261865,11.5250769880824,"5037","PEBP1"
"11757850_s_at",8.85298180929977,8.81079569364832,9.26795110292299,9.03083520098229,8.87425450876497,8.74170203795732,8.74499670778944,9.00744222322487,8.90650023331284,"5036","PA2G4"
"11741855_at",3.13171539477637,3.26071250273093,2.99181996100654,3.12777824197895,2.92065250758502,3.04308215044514,3.05947647165591,3.01312489163137,3.11705312618675,"503582","ARGFX"
"11728620_at",5.94068481648441,5.69517436279474,5.89665125587992,6.13946668311153,5.7648210613089,5.89248414363094,5.86249248394783,5.72995711360603,6.13479596265878,"503542","SPRN"
"11752645_a_at",5.75014470658908,6.0043312360894,7.05271419196724,6.31681991711462,6.76488315590796,6.18729818624319,5.80326238887781,6.61149252983013,6.12957626910014,"5034","P4HB"
